"MONTO"	"CLASE"	"MARCA"	"MODELO"	"CLASEPOLIZA"	"ZONA"	"SEXO"	"EDAD"	"VALOR"
3.039356	"AU"	"CH"	"M4"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E3"	"V3"
1.014889	"AU"	"RE"	"M5"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E3"	"V3"
5.824468	"AU"	"RE"	"M5"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E4"	"V3"
1.775373	"AU"	"CH"	"M3"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E3"	"V3"
3.202682	"AU"	"CH"	"M2"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E6"	"V4"
11.723926	"AU"	"KO"	"M6"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V3"
2.040484	"AU"	"EU"	"M6"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E2"	"V3"
3.871993	"AU"	"CH"	"M2"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V3"
4.727867	"AU"	"EU"	"M4"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E2"	"V3"
4.419411	"AU"	"CH"	"M6"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E5"	"V2"
1.776413	"AU"	"JA"	"M7"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E2"	"V2"
1.318685	"AU"	"JA"	"M7"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E2"	"V2"
3.461943	"PD"	"JA"	"M4"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E5"	"V4"
3.108291	"AU"	"RE"	"M7"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V2"
5.511879	"AU"	"RE"	"M5"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E3"	"V3"
0.546795	"AU"	"RE"	"M2"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V4"
3.086895	"AU"	"CH"	"M4"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V4"
7.358574	"PD"	"JA"	"M4"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E3"	"V5"
1.8794	"AU"	"CH"	"M2"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E2"	"V3"
2.000591	"AU"	"JA"	"M2"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V4"
0.354225	"AU"	"RE"	"M8"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V2"
1.418992	"AU"	"RE"	"M3"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E2"	"V4"
8.948894	"AU"	"CH"	"M2"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E1"	"V3"
12.199306	"AU"	"EU"	"M2"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E1"	"V4"
3.821802	"AU"	"JA"	"M6"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E6"	"V3"
6.218076	"AU"	"CH"	"M3"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V4"
1.464817	"AU"	"CH"	"M1"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E4"	"V3"
3.996997	"AU"	"RE"	"M2"	"POLIZA COLECTIVA"	"BG"	"M"	"E6"	"V6"
1.608931	"AU"	"US"	"M7"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V2"
0.56189	"AU"	"CH"	"M3"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E5"	"V3"
1.782315	"AU"	"CH"	"M3"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E3"	"V3"
26.918802	"CM"	"CH"	"M1"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E5"	"V5"
7.539284	"AU"	"EU"	"M6"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V2"
2.744107	"AU"	"CH"	"M1"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E4"	"V3"
1.772331	"AU"	"CH"	"M5"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V3"
4.886272	"AU"	"EU"	"M5"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V3"
5.775811	"AU"	"RE"	"M5"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E3"	"V3"
3.304923	"AU"	"RE"	"M5"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E3"	"V3"
3.280913	"AU"	"CH"	"M5"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E5"	"V2"
4.187546	"AU"	"RE"	"M1"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E2"	"V4"
1.591834	"AU"	"CH"	"M2"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E1"	"V3"
3.446605	"AU"	"CH"	"M4"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E6"	"V4"
3.95579	"AU"	"RE"	"M1"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E4"	"V4"
1.981651	"AU"	"KO"	"M6"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E3"	"V3"
2.86776	"AU"	"CH"	"M1"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V4"
3.202232	"AU"	"EU"	"M5"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E5"	"V3"
2.597152	"AU"	"CH"	"M5"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V4"
1.880305	"CM"	"JA"	"M7"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V2"
2.798099	"AU"	"JA"	"M6"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E5"	"V3"
3.681416	"AU"	"RE"	"M1"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E4"	"V4"
0.411579	"AU"	"MZ"	"M3"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E3"	"V5"
2.43909	"AU"	"CH"	"M3"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V3"
1.309997	"AU"	"CH"	"M5"	"POLIZA INDIVIDUAL"	"BG"	"M"	"E3"	"V3"
1.545253	"PD"	"CH"	"M3"	"POLIZA INDIVIDUAL"	"BG"	"F"	"E4"	"V4"
